iter	Passed	Remaining
0	4	9637
1	13	14968
2	22	17502
3	33	19110
4	37	17387
5	47	18271
6	58	19143
7	64	18547
8	70	18072
9	80	18476
10	85	17756
11	93	17797
12	102	17954
13	108	17718
14	116	17731
15	126	18108
16	129	17457
17	138	17580
18	148	17862
19	160	18350
20	171	18579
21	175	18131
22	185	18359
23	197	18731
24	205	18669
25	208	18240
26	214	18095
27	219	17807
28	229	17945
29	240	18168
30	248	18201
31	256	18153
32	265	18228
33	274	18301
34	283	18372
35	286	18046
36	289	17724
37	294	17562
38	304	17643
39	311	17584
40	320	17660
41	330	17778
42	340	17880
43	345	17732
44	355	17840
45	365	17924
46	377	18090
47	387	18182
48	398	18303
49	407	18342
50	417	18402
51	427	18504
52	431	18300
53	436	18177
54	446	18228
55	454	18231
56	464	18296
57	474	18343
58	481	18279
59	490	18324
60	499	18355
61	503	18174
62	512	18217
63	522	18254
64	531	18290
65	540	18289
66	550	18353
67	560	18391
68	570	18441
69	579	18469
70	582	18307
71	592	18347
72	599	18300
73	608	18312
74	613	18212
75	623	18262
76	630	18222
77	641	18289
78	648	18229
79	657	18261
80	667	18295
81	670	18154
82	679	18167
83	690	18219
84	696	18157
85	705	18183
86	716	18239
87	720	18114
88	729	18142
89	739	18159
90	748	18188
91	758	18215
92	768	18245
93	778	18269
94	781	18151
95	791	18171
96	799	18159
97	807	18159
98	817	18176
99	826	18197
100	837	18246
101	847	18271
102	857	18308
103	863	18247
104	873	18271
105	880	18230
106	890	18262
107	897	18231
108	908	18269
109	915	18231
110	925	18256
111	937	18317
112	947	18345
113	957	18368
114	967	18387
115	971	18300
116	975	18202
117	980	18138
118	989	18140
119	998	18154
120	1008	18177
121	1012	18089
122	1015	17987
123	1024	17994
124	1034	18002
125	1044	18024
126	1053	18042
127	1063	18059
128	1067	17974
129	1077	17989
130	1086	17998
131	1096	18015
132	1101	17963
133	1111	17971
134	1120	17985
135	1124	17898
136	1129	17845
137	1139	17865
138	1150	17889
139	1159	17891
140	1169	17908
141	1179	17928
142	1189	17946
143	1201	17989
144	1210	17999
145	1221	18026
146	1225	17964
147	1235	17975
148	1239	17903
149	1242	17822
150	1252	17838
151	1261	17839
152	1270	17840
153	1280	17849
154	1290	17870
155	1300	17883
156	1311	17907
157	1316	17854
158	1325	17854
159	1334	17863
160	1341	17827
161	1349	17823
162	1354	17766
163	1364	17779
164	1374	17792
165	1384	17811
166	1395	17827
167	1403	17813
168	1412	17820
169	1422	17830
170	1432	17846
171	1442	17856
172	1452	17865
173	1461	17869
174	1465	17799
175	1474	17808
176	1483	17805
177	1491	17790
178	1498	17760
179	1503	17721
180	1513	17727
181	1523	17734
182	1533	17745
183	1540	17722
184	1549	17728
185	1557	17707
186	1567	17720
187	1577	17725
188	1587	17736
189	1595	17725
190	1599	17668
191	1603	17612
192	1612	17611
193	1617	17565
194	1622	17526
195	1626	17466
196	1629	17407
197	1638	17408
198	1648	17415
199	1658	17426
200	1668	17431
201	1676	17416
202	1685	17421
203	1696	17437
204	1706	17451
205	1716	17458
206	1726	17464
207	1731	17420
208	1741	17432
209	1752	17446
210	1761	17452
211	1771	17459
212	1775	17401
213	1781	17373
214	1791	17382
215	1801	17388
216	1805	17338
217	1817	17369
218	1827	17375
219	1838	17392
220	1845	17368
221	1855	17377
222	1864	17377
223	1870	17345
224	1876	17318
225	1886	17320
226	1897	17333
227	1908	17353
228	1915	17329
229	1922	17309
230	1927	17270
231	1936	17266
232	1945	17265
233	1955	17275
234	1961	17242
235	1964	17189
236	1974	17196
237	1981	17172
238	1990	17171
239	1999	17172
240	2008	17168
241	2018	17174
242	2027	17175
243	2031	17126
244	2040	17123
245	2050	17127
246	2059	17126
247	2065	17095
248	2074	17094
249	2077	17045
250	2082	17006
251	2093	17020
252	2100	17004
253	2105	16969
254	2111	16941
255	2120	16939
256	2131	16952
257	2136	16920
258	2146	16925
259	2154	16912
260	2164	16914
261	2173	16913
262	2183	16918
263	2193	16921
264	2203	16928
265	2213	16931
266	2222	16934
267	2232	16935
268	2240	16921
269	2256	16976
270	2266	16979
271	2270	16935
272	2279	16935
273	2290	16941
274	2295	16911
275	2300	16876
276	2309	16875
277	2319	16881
278	2329	16882
279	2338	16880
280	2342	16838
281	2347	16804
282	2352	16777
283	2356	16735
284	2359	16691
285	2369	16696
286	2379	16699
287	2387	16690
288	2397	16690
289	2406	16689
290	2413	16673
291	2419	16649
292	2429	16652
293	2433	16611
294	2443	16612
295	2449	16589
296	2458	16588
297	2467	16586
298	2477	16585
299	2480	16546
300	2487	16527
301	2493	16502
302	2503	16506
303	2513	16508
304	2522	16509
305	2532	16511
306	2539	16494
307	2549	16497
308	2559	16499
309	2562	16458
310	2572	16460
311	2582	16462
312	2593	16471
313	2603	16471
314	2613	16475
315	2623	16479
316	2632	16476
317	2642	16475
318	2646	16442
319	2655	16440
320	2663	16429
321	2673	16430
322	2683	16434
323	2694	16438
324	2704	16444
325	2714	16443
326	2724	16447
327	2727	16407
328	2736	16402
329	2745	16400
330	2756	16403
331	2765	16401
332	2770	16373
333	2781	16380
334	2791	16380
335	2801	16381
336	2811	16387
337	2821	16386
338	2832	16395
339	2843	16400
340	2854	16409
341	2865	16414
342	2877	16424
343	2887	16428
344	2898	16434
345	2908	16434
346	2915	16417
347	2924	16415
348	2934	16413
349	2944	16414
350	2951	16398
351	2961	16397
352	2971	16395
353	2977	16377
354	2983	16354
355	2993	16353
356	3000	16337
357	3006	16318
358	3016	16319
359	3026	16316
360	3036	16316
361	3046	16316
362	3056	16316
363	3062	16296
364	3066	16267
365	3077	16268
366	3086	16266
367	3096	16263
368	3105	16261
369	3115	16260
370	3118	16225
371	3127	16215
372	3136	16210
373	3145	16207
